COD_IDCONTRA,COD_PERSONA,FAP_CONTR,IMP_CAPDIS,IMP_CAPINI,IMP_CAPPEN
00000000000000000267894619,32593,17NOV2015,120000.00,120000.00,81061.00
00000000000000000361015628,32593,28SEP2016,29863.27,29863.27,0.00
00000000000000000361064285,32593,29SEP2016,10112.36,10112.36,0.00
00000000000000000367460540,32593,21DEC2016,24340.28,24340.28,0.00
00000000000000000367822577,32593,28DEC2016,11000.00,11000.00,0.00
00000000000000000374210920,32593,30MAR2017,38000.00,38000.00,38000.00
00000000000000000264901212,33082,01OCT2015,8100.00,8100.00,0.00
00000000000000000019258218,33090,05JUL2002,150767.42,90767.42,92953.97
00000000000000000276379739,37004,17MAR2016,4298.87,4298.87,2664.53
00000000000000000025344324,42933,15JAN2004,70827.00,70827.00,29260.21
00000000000000000139908768,43426,27NOV2015,0.00,0.00,0.00
00000000000000000283265459,43456,24SEP2004,345100.00,345100.00,67775.62
00000000000000000283737671,44271,16FEB2005,214000.00,214000.00,152780.16
00000000000000000287693620,44271,25NOV2005,163700.00,163700.00,6970.50
00000000000000000244260263,44795,02OCT2014,10000.00,10000.00,0.00
00000000000000000357773990,44795,01AUG2016,24564.99,24564.99,23197.21
00000000000000000156091664,47169,18SEP2012,34420.92,34420.92,4115.75
00000000000000000265684190,47169,19OCT2015,11301.83,11301.83,0.00
00000000000000000272901891,47169,26JAN2016,8634.38,8634.38,0.00
00000000000000000275463777,47169,08MAR2016,20000.00,20000.00,0.00
00000000000000000278084149,47169,15APR2016,10742.18,10742.18,0.00
00000000000000000356835455,47169,14JUL2016,10541.88,10541.88,0.00
00000000000000000362498812,47169,13OCT2016,13650.76,13650.76,0.00
00000000000000000369362306,47169,20JAN2017,7673.44,7673.44,2557.82
00000000000000000371051648,47169,16FEB2017,20000.00,20000.00,19198.17
00000000000000000153537640,48022,28JUN2012,15337.42,15337.42,0.00
00000000000000000187807917,48022,17MAY2013,10754.46,10754.46,0.00
00000000000000000275600898,48022,18MAR2016,9477.92,9477.92,6572.97
00000000000000000215944844,51313,18FEB2014,45000.00,45000.00,41093.55
00000000000000000239557375,51874,19JUN2014,18423.75,18423.75,13832.46
00000000000000000017621547,70275,15JUL2004,12479.64,12479.64,0.00
00000000000000000271828016,70275,31DEC2015,0.00,0.00,0.00
00000000000000000361266497,70275,03OCT2016,0.00,0.00,0.00
00000000000000000164307731,71912,14MAR2013,0.00,0.00,0.00
00000000000000000196011817,71912,08OCT2013,0.00,0.00,0.00
00000000000000000233167399,71912,03MAR2014,0.00,235.73,8.25
00000000000000000233898614,73839,13MAR2014,14565.61,14565.61,3877.01
00000000000000000259046169,73895,30JUN2015,150000.00,150000.00,0.00
00000000000000000355338233,73895,22JUN2016,100000.00,100000.00,75836.28
00000000000000000358157524,73895,05AUG2016,17640.01,17640.01,0.00
00000000000000000358551435,73895,12AUG2016,20313.43,20313.43,0.00
00000000000000000358551905,73895,12AUG2016,4781.45,4781.45,0.00
00000000000000000362952087,73895,20OCT2016,11297.39,11297.39,0.00
00000000000000000364842742,73895,14NOV2016,10335.26,10335.26,0.00
