COD_PERSONA;COD_AREANEGO;COD_EDAD;COD_OFICIPAL;COD_SEGLOBAL;estado_cli
70124;13;72;6665;23;A
70271;6057;52;9613;24;R
70275;13;55;774;24;A
70340;13;42;3441;24;A
71266;13;58;6022;24;A
71912;13;65;5803;23;A
72029;13;79;1030;23;A
73691;13;72;4782;23;M
73839;13;39;761;24;A
73888;13;44;4014;84;A
73895;13;29;947;34;A
74178;6057;56;9981;24;I
74481;6057;66;9981;23;I
74855;4747;42;7385;87;A
75162;13;27;2773;83;A
75272;58;82;5475;31;A
75874;13;39;7911;86;M
76219;6057;64;8248;81;I
76555;6057;69;8248;23;I
77187;13;71;1287;23;A
77738;6057;46;2342;33;A
78184;58;56;2373;31;A
78345;13;59;1714;86;A
78628;6057;49;1059;22;I
79576;13;25;1433;81;R
80779;6057;44;6643;21;I
80995;13;40;708;24;A
81193;13;63;1379;23;A
81455;13;59;4924;13;A
82488;6057;67;9803;23;I
82703;58;43;5508;34;A
82745;13;60;9465;23;I
83151;6057;48;9981;24;I
83236;16;54;2062;22;A
83359;6057;50;9622;24;M
83512;6057;78;9617;23;I
83577;13;63;2075;23;A
83766;6057;67;8372;23;M
83850;58;43;2324;34;A
84008;13;60;2242;14;A
84096;4747;42;999;31;A
84128;13;63;8151;88;A
85117;13;54;1514;24;A
86225;6057;62;6800;23;M
86277;6057;61;3489;23;M
86534;6057;68;6884;23;I
86661;13;85;3172;22;A
86806;13;42;2369;24;A
87410;6057;76;9613;23;I
87930;6057;57;405;21;I
88003;6057;51;9981;24;I
89648;6057;39;913;24;I
89811;2133;49;4023;15;R
89963;13;37;4001;34;A
90001;16;44;6054;24;A
90129;13;57;9465;24;I
90397;13;29;4030;35;A
90810;6057;83;9981;23;I
90858;6057;62;9981;23;I
90871;16;47;6054;24;A
91388;13;46;4957;24;A
91457;6057;92;9981;23;I
91570;6057;69;9613;23;I
91594;13;67;3565;21;A
91662;13;45;3413;24;A
92383;13;65;5580;81;A
92647;13;47;6415;88;A
92658;13;57;3337;22;A
92774;13;52;1830;22;A
93947;13;57;1938;24;I
94163;13;35;929;83;R
94884;13;58;974;24;A
94887;13;46;7320;24;A
95057;13;52;75;14;A
95331;6057;53;9892;24;A
95836;6057;47;9613;24;R
96152;13;45;6012;24;M
96392;13;53;4206;24;M
96574;6057;56;8248;24;R
97052;6057;56;8248;24;I
97751;6057;33;2000;34;M
97758;13;63;9465;14;A
98288;58;32;5508;34;A
98878;13;33;2231;82;R
99488;13;74;5818;23;A
99975;13;68;9067;80;A
100013;13;65;2807;23;A
100075;13;20;3577;35;M
100648;13;52;390;81;A
101054;58;46;2341;34;A
101068;13;50;764;24;A
101289;58;38;483;82;M
101515;13;57;2874;14;A
102546;6057;61;9981;23;I
102771;6057;78;9981;23;I
103268;13;52;1339;24;A
103299;6057;57;8248;24;I
103488;6057;54;9981;24;I
103691;13;29;492;80;M
104039;6057;55;9981;24;M
104063;6057;55;6460;83;M
104230;6057;50;8248;24;I
104337;6057;53;9981;24;I
104723;6057;45;3272;24;R
105146;6057;48;7565;24;A
105780;6057;47;8248;24;I
106292;13;19;1520;35;A
106363;13;31;3203;35;A
106521;6057;39;9622;24;M
106718;13;82;6801;21;A
107447;13;54;2232;22;A
107586;6057;60;1897;14;I
108245;6057;69;8248;23;I
108929;13;43;810;21;A
108933;6057;54;9982;83;I
108964;13;47;5143;24;A
109887;58;33;2357;33;A
109889;13;50;7253;24;A
110421;58;30;2357;34;A
110839;13;77;2079;23;I
111106;13;73;863;23;A
111267;6057;53;8248;24;I
111528;6057;46;9622;24;I
111838;6057;49;9534;24;M
112261;13;77;6781;21;A
113900;58;36;2356;34;M
114593;6057;53;1216;24;I
114718;13;30;4049;24;A
114790;13;74;7594;23;A
114903;6057;54;8248;24;R
115144;13;73;4051;23;M
115302;13;30;7579;25;A
115745;6057;76;9617;23;R
115936;6057;44;892;24;M
116059;13;36;2311;24;A
116239;6057;51;8651;81;A
116466;58;42;5483;33;A
116671;13;71;7670;23;A
117155;13;51;784;24;A
117182;13;39;7016;24;A
117483;6057;57;9613;24;I
117789;58;32;2393;34;A
118006;13;29;764;80;A
118331;4747;58;1921;14;A
118431;13;43;1697;81;A
118488;13;37;6620;35;A
119216;6057;71;9981;23;I
119844;13;18;3474;86;M
120596;6057;41;8248;24;I
120602;6057;88;295;14;I
120762;4747;61;5777;87;A
120804;13;39;5260;87;A
121089;13;43;2354;33;M
121568;58;37;2354;35;A
121583;6057;32;5900;24;I
121724;13;65;2800;23;I
121783;13;86;3577;12;A
121984;58;32;2393;34;M
122123;13;46;437;24;A
122222;13;28;3282;81;M
122603;13;30;6380;14;A
122698;13;46;2025;14;A
123039;13;59;2080;23;A
123682;13;72;3247;23;M
123864;13;68;4170;23;R
124217;13;71;2109;22;A
124973;13;45;12;24;A
125177;13;51;4271;24;A
125923;23;43;6204;31;A
126350;13;46;3353;80;A
126453;4747;38;5777;24;A
127128;6057;45;2680;24;I
128071;13;52;8320;22;A
128259;13;31;436;80;M
128552;13;70;4609;23;A
128639;13;53;17;83;A
128819;6057;57;8385;81;M
129611;6057;73;2800;23;I
129620;13;47;4532;81;R
129720;58;43;2351;34;M
129751;58;38;2351;34;A
129923;6057;51;6054;24;I
129990;88;63;2407;33;R
130732;13;74;2734;21;A
130978;88;34;5400;1;R
131032;6057;42;8248;24;I
131259;13;77;3240;89;M
131482;58;29;2338;33;A
131489;13;49;2094;15;A
131577;16;49;6054;24;A
131819;6057;47;8248;24;R
132554;6057;41;2120;87;I
132600;13;44;509;24;A
132701;13;55;1900;24;A
132928;6057;42;2551;24;I
133627;6057;62;8372;83;M
134176;58;48;2339;33;A
134259;58;47;5513;34;A
135015;58;37;5513;33;A
135579;13;72;3337;14;A
135587;6057;41;8248;24;I
136420;13;36;6410;35;A
136527;4747;66;5777;23;A
136758;6057;50;6789;24;A
136862;6057;34;5640;24;I
137418;13;60;405;23;A
137430;6057;44;1687;22;I
138032;13;33;578;86;M
138230;13;41;298;15;A
138599;6057;53;8248;87;I
138665;6057;58;9981;24;I
139184;13;77;741;14;A
139189;13;63;1889;14;A
139386;13;63;4770;23;A
139400;6057;50;8248;24;I
139454;6057;43;8248;24;I
139480;13;55;4937;24;A
140280;13;30;1520;35;A
140406;13;30;573;35;A
140837;13;31;559;81;M
140936;6057;49;8248;24;I
141085;13;45;108;24;A
141159;13;50;8738;24;M
141285;6057;41;4473;24;I
141496;6057;49;9534;24;I
141865;13;54;727;14;A
142054;13;57;719;81;A
142062;6057;44;8248;24;I
142224;13;41;454;87;A
142282;13;63;7115;23;A
142592;6057;51;8248;24;I
143011;13;40;9095;24;M
143312;13;81;6562;80;A
143343;6057;50;8391;24;A
143693;13;32;6552;35;A
143927;58;31;2363;34;A
144320;6057;44;8248;24;I
144425;13;81;1923;23;I
144855;6057;52;761;15;I
144858;6057;51;5910;24;M
144970;13;66;171;23;A
145088;13;53;3099;24;A
145546;13;75;3232;23;A
145847;13;44;3732;24;I
145984;13;57;1456;24;A
146341;6057;46;7029;22;I
146429;13;49;2857;22;A
147188;13;50;4670;34;A
147744;13;46;4670;34;A
147834;13;43;57;35;A
148276;13;62;1206;14;A
148627;16;70;2062;23;A
148743;13;72;4807;22;A
148892;58;39;1299;34;A
149351;16;58;2062;22;A
149361;6057;45;5805;24;M
149574;4747;67;7325;22;A
149915;4747;53;5777;24;I
150097;13;22;1307;35;A
150295;13;40;9465;24;A
151157;13;62;3196;13;A
151221;13;43;8085;80;A
151254;6057;54;8248;87;I
151261;13;66;3448;23;A
152184;13;29;1234;35;A
152292;16;54;6054;24;A
152325;6057;44;6364;81;M
152466;13;66;2402;23;M
152643;13;55;605;24;A
152848;13;25;1031;86;A
153041;13;31;31;34;A
153080;58;30;1299;34;R
154103;13;56;369;24;A
155275;6057;69;9613;23;I
155749;6057;46;298;24;R
156159;13;66;4951;23;A
156246;13;42;3448;89;A
156284;6057;57;815;24;I
156489;13;29;6100;24;A
156521;16;58;6855;89;A
156747;6057;43;2753;24;M
156997;13;77;4220;23;A
157137;13;56;661;82;A
157212;13;62;1461;23;A
157883;6057;66;9622;23;I
158454;13;55;4242;24;M
158583;58;63;2407;34;A
159444;13;64;6603;23;R
159642;6057;50;9892;24;R
159775;6057;37;6054;24;I
160267;13;33;6900;35;A
160648;13;47;521;24;A
160831;13;47;5400;24;A
161327;6057;49;8248;87;I
161820;6057;55;483;24;A
162677;13;26;205;32;M
162923;13;26;9661;35;M
163086;13;49;7111;24;A
163287;13;57;5500;24;A
163416;6057;63;8248;81;I
163492;13;31;5422;34;M
163542;6057;54;9465;24;I
164552;58;31;5424;34;A
165819;4747;43;5777;24;A
166146;13;55;4102;24;A
166233;13;54;9465;22;A
166302;13;67;704;23;A
166318;13;57;2112;81;A
166834;6057;57;8248;24;R
166870;4747;59;5777;14;A
167533;6057;47;9030;24;I
167559;13;61;9465;23;I
167827;6057;49;8248;81;I
168143;6057;75;9487;23;A
168638;13;30;238;81;M
169541;13;63;4461;81;A
169808;6057;79;9617;23;R
170359;6057;45;8248;24;I
170829;13;72;7710;23;A
170836;13;29;298;81;M
170873;13;53;7027;15;A
171056;13;80;2316;21;A
171609;13;32;6829;35;I
171724;13;47;565;24;A
171791;13;38;250;34;A
171913;13;28;5742;81;M
172680;13;28;3169;34;A
173188;13;58;1404;24;A
173544;13;60;282;23;A
173714;13;60;3089;23;M
175465;6057;60;9981;23;I
175474;6057;40;5777;22;I
175842;13;80;4436;23;A
175875;13;58;3226;24;A
175910;13;52;890;13;A
176152;58;31;5532;33;A
176188;3283;49;2370;3;R
176195;13;47;3095;24;A
176466;13;22;5980;25;A
176552;6057;46;9981;24;I
177020;6057;68;9534;23;I
177202;6057;94;9981;23;I
177454;6057;46;8614;24;M
177459;6057;43;702;83;I
177668;13;31;917;82;A
177750;6057;39;8248;24;R
178158;13;31;958;89;M
178655;6057;35;9981;24;I
178921;6057;43;8248;24;A
179150;13;51;6569;15;A
179555;6057;49;9892;24;A
179814;13;59;4209;13;A
180077;13;66;2109;14;A
180559;13;43;3107;22;A
180794;13;45;9030;14;A
